C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1769	[INFO] Generating key.id, writing header.
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1995	[INFO] Generate file 'C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/system.xml'.
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 2024	[WARNING] Unable to get serial number or empty serial number. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1121	All actions done, status = 0. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 2274	[INFO] Installation is complete. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 849	[INFO] Update prodinfo.xml. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 878	[INFO] Need to update prodinfo.xml. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 919	[INFO] File C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been updated. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 954	[INFO] Failed to get RWI version. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 969	[INFO] File C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/prodinfo.xml has been created, status = 0. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1342	GetProdsAndFeaturesFromCtrlrsfFile(), file path = 'C:/Users/grazianige/Documents/GitHub/universo/Universo_Gofa/universo/Virtual Controllers/CRB15000_5_95/internal/controller.rsf'. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1386	GetProdsAndFeaturesFromCtrlrsfFile(), got 3 products. 
C:\BUILDAGENTS\AGENT-SEABB-IS-13900.2\_work\255\s\DpUpdates\DpUpdates_i.cpp, 1452	GetProdsAndFeaturesFromCtrlrsfFile(), got 10 features for product 'RobotControl'. 
