2.1,-3.2,52,9.6,-708.3
2.1,-3.2,51,9.6,-707.9
2.1,-3.2,51,9.6,-707.6
2.1,-3.6,50,9.7,-707.3
2.1,-3.6,50,9.7,-706.9
2.2,-3.6,49,9.7,-706.5
2.2,-3.6,49,9.7,-706.1
2.2,-3.6,48,9.7,-705.6
2.2,-3.6,48,9.8,-705.2
2.3,-4,47,9.8,-704.7
2.3,-4,47,9.8,-704.3
2.3,-4,47,9.8,-703.8
2.3,-4,47,9.8,-703.4
2.4,-4,46,9.9,-702.9
2.4,-4,46,9.9,-702.4
2.4,-4,46,9.9,-701.9
2.4,-4,46,9.9,-701.4
2.4,-4,46,9.9,-700.9
2.5,-4,46,9.9,-700.3
2.5,-4,46,9.9,-699.8
2.5,-4,46,9.9,-699.3
2.5,-4,46,9.9,-698.7
2.5,-4,46,9.9,-698.1
2.6,-4,46,10,-697.5
2.6,-4,47,10,-696.9
2.6,-4,47,10,-696.3
2.7,-4,47,10,-695.7
2.7,-3.6,48,10,-695.1
2.7,-3.6,48,10,-694.5
2.7,-3.6,48,10,-693.8
2.7,-3.6,49,10,-693.2
2.7,-3.6,49,10,-692.6
2.7,-3.6,50,10,-692
2.7,-3.6,50,10,-691.5
2.7,-3.2,51,10,-690.9
2.8,-3.2,52,10,-690.4
2.8,-3.2,52,10,-689.8
2.8,-3.2,53,10,-689.3
2.8,-2.8,54,10,-688.7
2.8,-2.8,55,10,-688.2
2.8,-2.8,56,10,-687.7
2.8,-2.4,56,10,-687.2
2.8,-2.4,57,10,-686.7
2.8,-2.4,58,10,-686.3
2.8,-2.4,59,10,-685.9
2.8,-2,60,10,-685.4
2.8,-2,61,10,-685
2.8,-2,62,10,-684.6
2.8,-1.6,63,9.9,-684.3
2.9,-1.6,64,9.9,-683.9
2.9,-1.6,65,9.9,-683.6
2.9,-1.2,66,9.9,-683.3
2.9,-1.2,66,9.9,-683
2.9,-1.2,67,9.9,-682.8
2.9,-0.8,68,9.9,-682.6
2.9,-0.8,69,9.9,-682.5
2.9,-0.8,70,9.9,-682.4
2.9,-0.4,71,9.8,-682.3
2.9,-0.4,72,9.8,-682.2
2.9,-0.4,73,9.8,-682.2
2.9,-0,74,9.8,-682.3
2.9,-0,75,9.8,-682.3
3,0,76,9.7,-682.4
3,0.4,77,9.7,-682.5
3,0.4,78,9.7,-682.6
2.9,0.4,79,9.7,-682.8
2.9,0.8,80,9.7,-683
2.9,0.8,81,9.6,-683.2
2.9,0.8,81,9.6,-683.5
2.9,0.8,82,9.6,-683.7
2.9,1.2,83,9.5,-684
2.9,1.2,84,9.5,-684.2
2.9,1.2,84,9.5,-684.5
2.9,1.2,85,9.5,-684.8
2.9,1.6,85,9.4,-685.1
2.9,1.6,86,9.4,-685.5
2.9,1.6,86,9.4,-685.9
2.9,1.6,86,9.3,-686.2
2.9,1.6,87,9.3,-686.6
2.9,1.6,87,9.3,-687.1
2.9,1.6,87,9.2,-687.5
2.8,1.6,86,9.2,-688
2.8,1.6,86,9.2,-688.6
2.8,1.6,86,9.1,-689.1
2.8,1.6,85,9.1,-689.7
2.7,1.2,84,9,-690.4
2.7,1.2,84,9,-691.1
2.7,1.2,83,9,-691.8
2.6,0.8,82,8.9,-692.5
2.6,0.8,81,8.9,-693.3
2.6,0.8,80,8.9,-694.1
2.5,0.4,79,8.8,-694.9
2.5,0.4,78,8.8,-695.8
2.4,0.4,77,8.7,-696.7
2.4,-0,75,8.7,-697.6
2.3,-0,74,8.7,-698.5
2.3,-0.4,72,8.6,-699.4
2.2,-0.4,71,8.6,-700.2
2.1,-0.8,69,8.5,-701.1
2,-1.2,67,8.5,-701.9
2,-1.2,65,8.5,-702.7
1.9,-1.6,64,8.4,-703.4
1.8,-2,62,8.4,-704.1
1.7,-2,60,8.3,-704.8
1.6,-2.4,58,8.3,-705.3
1.5,-2.8,56,8.2,-705.9
1.4,-2.8,54,8.2,-706.3
1.3,-3.2,51,8.2,-706.7
1.2,-3.6,49,8.1,-707
1.1,-3.6,47,8.1,-707.2
1,-4,45,8,-707.3
0.9,-4.4,42,8,-707.3
0.8,-4.8,40,7.9,-707.2
0.7,-5.2,37,7.9,-707.1
0.6,-5.6,35,7.8,-706.8
0.4,-6,32,7.8,-706.5
0.3,-6.4,29,7.7,-706.1
0.2,-6.8,27,7.7,-705.6
0.1,-6.8,24,7.6,-705
-0.1,-7.2,22,7.6,-704.3
-0.2,-7.6,19,7.5,-703.5
-0.4,-8,16,7.4,-702.7
-0.5,-8.4,13,7.4,-701.9
-0.7,-8.8,11,7.3,-701
-0.8,-9.2,8,7.3,-700.1
-1,-9.6,5,7.2,-699.1
-1.1,-10,2,7.2,-698.1
-1.3,-10.4,-1,7.1,-697.1
-1.4,-10.8,-3,7.1,-696.2
-1.6,-11.2,-6,7,-695.2
-1.7,-11.6,-9,6.9,-694.2
-1.9,-12,-11,6.9,-693.2
-2.1,-12,-14,6.8,-692.1
-2.2,-12.4,-16,6.8,-691.1
-2.4,-12.8,-18,6.7,-690.1
-2.5,-13.2,-21,6.6,-689
-2.7,-13.2,-23,6.6,-688
-2.8,-13.6,-25,6.5,-686.9
-3,-14,-27,6.4,-685.7
-3.1,-14.4,-29,6.4,-684.5
-3.3,-14.8,-31,6.3,-683.1
-3.4,-14.8,-33,6.3,-681.7
-3.6,-15.2,-35,6.2,-680.1
-3.7,-15.6,-37,6.1,-678.5
-3.8,-15.6,-38,6.1,-676.6
-4,-15.6,-40,6,-674.7
-4.1,-16,-41,5.9,-672.5
-4.2,-16,-42,5.9,-670.2
-4.4,-16.4,-44,5.8,-667.7
-4.5,-16.4,-45,5.7,-665
-4.6,-16.4,-45,5.7,-662.1
-4.7,-16.8,-46,5.6,-659
-4.8,-16.8,-47,5.5,-655.8
-4.9,-16.8,-47,5.5,-652.4
-5.1,-16.8,-48,5.4,-648.9
-5.2,-16.8,-48,5.3,-645.3
-5.3,-17.2,-48,5.2,-641.6
-5.3,-17.2,-49,5.2,-637.9
-5.4,-16.8,-49,5.1,-634.1
-5.5,-16.8,-49,5,-630.3
-5.6,-16.8,-48,5,-626.6
-5.7,-16.8,-48,4.9,-622.9
-5.8,-16.8,-48,4.8,-619.3
-5.8,-16.8,-48,4.7,-615.8
-5.9,-16.8,-47,4.7,-612.5
